iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0_lambda10_beta20/nonrigid_iter0.xyz,0.13805075959912488
1,0.0070534,0.292839,final_report_data/fiducials/w0_lambda10_beta20/nonrigid_iter1_sim0.292839.xyz,0.10084858168021357
2,0.0111529,0.221148,final_report_data/fiducials/w0_lambda10_beta20/nonrigid_iter2_sim0.221148.xyz,0.04929012077977601
3,0.0167587,0.079917,final_report_data/fiducials/w0_lambda10_beta20/nonrigid_iter3_sim0.079917.xyz,0.006387061889217009
4,0.0237444,0.00583833,final_report_data/fiducials/w0_lambda10_beta20/nonrigid_iter4_sim0.005838.xyz,3.432633900680587e-05
