iteration,time,similarity,outfile
0,0,9.4243,final_report_data/contours/w0-2_lambda0-1_beta100/nonrigid_iter0.xyz
1,0.208889,7.70408,
2,0.389514,6.55614,
3,0.55345,5.74997,
4,0.719074,5.10604,
5,1.00802,4.52494,
6,1.21419,4.00322,
7,1.39899,3.53641,
8,1.56937,3.15738,
9,1.74051,2.85068,
10,1.90609,2.61707,
11,2.07281,2.43145,
12,2.23153,2.28281,
13,2.39599,2.16627,
14,2.55546,2.08254,
15,2.72204,2.02142,
16,2.8814,1.97747,
17,3.04005,1.94551,
18,3.20691,1.92003,
19,3.3746,1.89858,
20,3.54294,1.87991,
21,3.71382,1.86328,
22,3.88554,1.84838,
23,4.05381,1.83415,
24,4.22015,1.81995,
25,4.38409,1.80576,
26,4.54747,1.7916,
27,4.72274,1.77759,
28,4.89349,1.7641,
29,5.06973,1.75145,
30,5.24523,1.73956,
31,5.41691,1.7289,
32,5.58878,1.71987,
33,5.75646,1.71202,
34,5.92148,1.70544,
35,6.08387,1.6996,
36,6.24744,1.69451,
