iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0_lambda10_beta10/nonrigid_iter0.xyz,0.13805075959912488
1,0.0078921,0.293887,final_report_data/fiducials/w0_lambda10_beta10/nonrigid_iter1_sim0.293887.xyz,0.10135841588090264
2,0.0178924,0.222591,final_report_data/fiducials/w0_lambda10_beta10/nonrigid_iter2_sim0.222591.xyz,0.05003492974682143
3,0.0251792,0.0812642,final_report_data/fiducials/w0_lambda10_beta10/nonrigid_iter3_sim0.081264.xyz,0.0066087282156469624
4,0.0327544,0.0060408,final_report_data/fiducials/w0_lambda10_beta10/nonrigid_iter4_sim0.006041.xyz,3.949638295214787e-05
