iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0_lambda10_beta200/nonrigid_iter0.xyz,0.13805075959912488
1,0.0097404,0.292485,final_report_data/fiducials/w0_lambda10_beta200/nonrigid_iter1_sim0.292485.xyz,0.100678528114524
2,0.0178916,0.220665,final_report_data/fiducials/w0_lambda10_beta200/nonrigid_iter2_sim0.220665.xyz,0.04904358985273326
3,0.0253037,0.0794739,final_report_data/fiducials/w0_lambda10_beta200/nonrigid_iter3_sim0.079474.xyz,0.006316108888933804
4,0.0346902,0.00577619,final_report_data/fiducials/w0_lambda10_beta200/nonrigid_iter4_sim0.005776.xyz,3.336471391108814e-05
