iteration,time,similarity,outfile
0,0,9.4243,final_report_data/contours/w0-2_lambda0-1_beta20/nonrigid_iter0.xyz
1,0.201887,8.37346,
2,0.378423,7.46799,
3,0.543128,6.7453,
4,0.709908,6.13511,
5,0.877946,5.58813,
6,1.08843,5.06319,
7,1.26908,4.5423,
8,1.47399,4.03869,
9,1.66501,3.54457,
10,1.83483,3.0951,
11,2.00817,2.72525,
12,2.17451,2.43901,
13,2.33259,2.22111,
14,2.49309,2.05918,
15,2.65847,1.94118,
16,2.82203,1.8526,
17,2.98252,1.78578,
18,3.14984,1.73029,
19,3.31824,1.68633,
20,3.47892,1.64999,
21,3.6393,1.61984,
22,3.80829,1.59295,
23,3.96737,1.56824,
24,4.12871,1.54533,
25,4.29652,1.52271,
26,4.46536,1.49976,
27,4.63591,1.47829,
28,4.80437,1.45793,
29,4.97326,1.43884,
30,5.141,1.42144,
