iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter0.xyz,0.13805076
1,0.0078067,0.331985,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter1_sim0.331985.xyz,0.130564088
2,0.014589,0.281681,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter2_sim0.281681.xyz,0.089333156
3,0.0198618,0.128289,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter3_sim0.128289.xyz,0.01678778
4,0.0268829,0.0219246,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter4_sim0.021925.xyz,0.00062724
5,0.0333447,0.00360978,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter5_sim0.003610.xyz,1.94E-05
6,0.04001364,3.57E-05,final_report_data/fiducials/w0-1_lambda10_beta2/nonrigid_iter6_sim0.000036.xyz,2.18E-09
