iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter0.xyz,0.13805075959912488
1,0.0074906,0.338495,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter1_sim0.338495.xyz,0.13727940415757592
2,0.0129499,0.326837,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter2_sim0.326837.xyz,0.12704389139000088
3,0.0184613,0.200926,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter3_sim0.200926.xyz,0.04050384017209495
4,0.024576,0.0615055,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter4_sim0.061505.xyz,0.00544564666308168
5,0.0311153,0.00740726,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter5_sim0.007407.xyz,7.795302441788502e-05
6,0.0361928,0.000166857,final_report_data/fiducials/w0-6_lambda10_beta2/nonrigid_iter6_sim0.000167.xyz,4.718429453637981e-08
