iteration,time,similarity,outfile,error,error
0,0,0.33923,final_report_data/fiducials/w0_lambda10_beta100/nonrigid_iter0.xyz,0.13805075959912488,0.13805075959912488
1,0.0075911,0.292496,final_report_data/fiducials/w0_lambda10_beta100/nonrigid_iter1_sim0.292496.xyz,0.10068366402933888,0.10068366402933888
2,0.0148497,0.22068,final_report_data/fiducials/w0_lambda10_beta100/nonrigid_iter2_sim0.220680.xyz,0.04905107406933208,0.04905107406933208
3,0.0239555,0.0794877,final_report_data/fiducials/w0_lambda10_beta100/nonrigid_iter3_sim0.079488.xyz,0.006318291999171176,0.006318291999171176
4,0.0330862,0.00577851,final_report_data/fiducials/w0_lambda10_beta100/nonrigid_iter4_sim0.005779.xyz,3.3391962945499244e-05,3.3391962945499244e-05
