iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0_lambda10_beta2/nonrigid_iter0.xyz,0.13805075959912488
1,0.012683,0.313879,final_report_data/fiducials/w0_lambda10_beta2/nonrigid_iter1_sim0.313879.xyz,0.11281427882025949
2,0.0198007,0.255422,final_report_data/fiducials/w0_lambda10_beta2/nonrigid_iter2_sim0.255422.xyz,0.06975940019735682
3,0.027535,0.119564,final_report_data/fiducials/w0_lambda10_beta2/nonrigid_iter3_sim0.119564.xyz,0.014615855223209151
4,0.0350689,0.0182031,final_report_data/fiducials/w0_lambda10_beta2/nonrigid_iter4_sim0.018203.xyz,0.00043234530484924355
