iteration,time,similarity,outfile,error
0,0,0.33923,final_report_data/fiducials/w0_lambda1_beta2/nonrigid_iter0.xyz,0.13805075959912488
1,0.007057,0.226164,final_report_data/fiducials/w0_lambda1_beta2/nonrigid_iter1_sim0.226164.xyz,0.06826571840734888
2,0.0153866,0.0911821,final_report_data/fiducials/w0_lambda1_beta2/nonrigid_iter2_sim0.091182.xyz,0.010737680711007006
3,0.0231838,0.0183703,final_report_data/fiducials/w0_lambda1_beta2/nonrigid_iter3_sim0.018370.xyz,0.00036185722511116564
4,0.0294928,0.00219735,final_report_data/fiducials/w0_lambda1_beta2/nonrigid_iter4_sim0.002197.xyz,7.609823814137762e-06
